Ensemble,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbols
ENSMUSG00000063234,827.144213,6.77224479,1.119559125,5.71E-11,4.49E-08,Gpr84
ENSMUSG00000000303,44.22171665,-4.643168342,0.777165736,6.04E-11,4.52E-08,Cdh1
ENSMUSG00000026637,281.2875562,-1.967075297,0.32463514,6.34E-11,4.53E-08,Traf5
ENSMUSG00000019987,665.3071096,-6.505520518,1.111016367,7.86E-11,5.37E-08,Arg1
ENSMUSG00000024247,206.8776289,-3.283035815,0.550713935,8.43E-11,5.52E-08,Pkdcc
ENSMUSG00000027997,477.5698878,-2.069722922,0.346496728,9.40E-11,5.91E-08,Casp6
ENSMUSG00000037697,586.8637853,-3.313393336,0.560026785,1.04E-10,6.30E-08,Ddhd1
ENSMUSG00000079293,3092.193659,-3.44307197,0.586237615,1.27E-10,7.41E-08,Clec7a
ENSMUSG00000026656,7338.030734,-3.27047651,0.559587051,1.57E-10,8.80E-08,Fcgr2b
ENSMUSG00000002897,1309.104704,2.107957662,0.354151141,1.76E-10,9.55E-08,Il17ra
ENSMUSG00000055044,78.24533817,-4.188008336,0.726169555,2.27E-10,1.19E-07,Pdlim1
ENSMUSG00000031443,346.4454745,-4.479189479,0.782256485,2.44E-10,1.20E-07,F7
ENSMUSG00000039385,28.04052476,-0.041552463,0.342747439,2.39E-10,1.20E-07,Cdh6
ENSMUSG00000055782,403.6685211,-3.171704022,0.55202505,2.89E-10,1.37E-07,Abcd2
ENSMUSG00000049871,249.0399765,2.042487021,0.353452772,4.90E-10,2.20E-07,Nlrc3
ENSMUSG00000024990,531.9913571,-0.11219863,0.368561798,4.78E-10,2.20E-07,Rbp4
ENSMUSG00000042265,173.9936975,5.885534132,1.032069216,5.35E-10,2.34E-07,Trem1
ENSMUSG00000027670,197.206422,-6.39419126,1.171676882,8.24E-10,3.50E-07,Ocstamp
ENSMUSG00000033960,127.7341763,-2.212992281,0.397236806,9.86E-10,4.07E-07,Jcad
ENSMUSG00000058427,4470.744768,6.724452019,1.229416379,1.57E-09,6.33E-07,Cxcl2
ENSMUSG00000074634,65.11891055,-3.174289539,0.581880684,1.66E-09,6.52E-07,Tmem267
ENSMUSG00000015947,6443.03117,3.605811263,0.651216827,1.74E-09,6.65E-07,Fcgr1
ENSMUSG00000089901,484.5357027,-0.218915133,0.460381921,1.88E-09,7.05E-07,NA
ENSMUSG00000032870,3649.082731,-2.158917464,0.397500859,2.06E-09,7.54E-07,Smap2
ENSMUSG00000002885,1661.634003,-3.538615084,0.659825698,2.29E-09,8.19E-07,Adgre5
ENSMUSG00000021285,745.3575199,1.018746686,0.183061265,2.94E-09,1.03E-06,Ppp1r13b
ENSMUSG00000042712,1234.326448,-1.762839303,0.329493185,4.15E-09,1.42E-06,Tceal9
ENSMUSG00000025477,580.9217558,-1.789060694,0.336083679,5.11E-09,1.71E-06,Inpp5a
ENSMUSG00000022637,2612.962216,-2.32677798,0.444481979,6.22E-09,2.04E-06,Cblb
ENSMUSG00000024401,4447.380467,4.133030079,0.782542734,6.68E-09,2.14E-06,Tnf
ENSMUSG00000032691,3007.451799,2.625911432,0.497847766,7.25E-09,2.28E-06,Nlrp3
ENSMUSG00000030142,14173.31432,4.770522336,0.909434413,7.64E-09,2.35E-06,Clec4e
ENSMUSG00000058446,3079.250595,-1.910939222,0.368571277,9.67E-09,2.92E-06,Znrf2
ENSMUSG00000041957,214.2644101,-4.36139669,0.86861965,1.20E-08,3.55E-06,Pkp2
ENSMUSG00000078627,15.90299849,-0.251134798,0.506482705,1.24E-08,3.61E-06,Marchf10
ENSMUSG00000030789,5363.152012,-4.267214013,0.853833298,1.29E-08,3.69E-06,Itgax
ENSMUSG00000028885,709.3961122,3.06165531,0.592305524,1.36E-08,3.80E-06,Smpdl3b
ENSMUSG00000036098,172.2973193,-4.105498236,0.824177758,1.52E-08,4.18E-06,Myrf
ENSMUSG00000026981,6876.529125,3.889357449,0.769306324,2.11E-08,5.55E-06,Il1rn
ENSMUSG00000078763,738.3351749,6.548439998,1.301134767,2.07E-08,5.55E-06,Slfn1
ENSMUSG00000022895,3102.29656,2.584950141,0.50673319,2.12E-08,5.55E-06,Ets2
ENSMUSG00000047945,4565.119479,3.609608579,0.715442295,2.43E-08,6.26E-06,Marcksl1
ENSMUSG00000036086,928.7193081,1.30805593,0.255780343,2.79E-08,7.07E-06,Zranb3
ENSMUSG00000056071,903.3576575,0.038633839,0.342607175,3.35E-08,8.35E-06,S100a9
ENSMUSG00000061578,163.8259054,-4.586081446,0.971130905,4.33E-08,1.05E-05,Ksr2
ENSMUSG00000032578,129.868065,-4.277464009,0.897453092,4.35E-08,1.05E-05,Cish
ENSMUSG00000042745,421.3200576,4.561866229,0.931412143,4.63E-08,1.10E-05,Id1
ENSMUSG00000107622,25.13317526,-5.34979293,1.123626577,4.90E-08,1.15E-05,4930512J16Rik
ENSMUSG00000020585,8901.7684,-1.072558234,0.214387988,4.97E-08,1.15E-05,Laptm4a
ENSMUSG00000030614,521.691776,-1.388939307,0.282130845,5.52E-08,1.26E-05,Tmem126b
ENSMUSG00000060681,725.225466,-0.877827011,0.173341626,6.08E-08,1.36E-05,Slc9a6
ENSMUSG00000095457,19.77175257,-5.797920952,1.227449712,6.17E-08,1.36E-05,NA
ENSMUSG00000054200,25.96653599,-0.287471095,0.573149669,6.24E-08,1.36E-05,Ffar4
ENSMUSG00000027843,834.8322126,2.213160742,0.453134428,6.78E-08,1.46E-05,Ptpn22
ENSMUSG00000027397,1539.512999,1.828135082,0.37418683,7.05E-08,1.50E-05,Slc20a1
ENSMUSG00000072437,165.2076834,2.384883231,0.492160634,7.57E-08,1.59E-05,Nanos1
ENSMUSG00000004933,364.9827722,-3.399595248,0.727045688,7.76E-08,1.60E-05,Matk
ENSMUSG00000032038,662.6768544,-1.700851438,0.353556663,8.13E-08,1.66E-05,St3gal4
ENSMUSG00000027276,1002.960513,3.633289044,0.755780027,8.91E-08,1.80E-05,Jag1
ENSMUSG00000004655,19.14595676,-5.093894727,1.080040208,9.54E-08,1.87E-05,Aqp1
ENSMUSG00000052749,241.6644482,4.038856432,0.842350574,9.49E-08,1.87E-05,Trim30b
ENSMUSG00000027995,3181.203731,2.704100649,0.56694371,1.06E-07,2.03E-05,Tlr2
ENSMUSG00000043252,450.6673696,-1.544163379,0.325130832,1.05E-07,2.03E-05,Tmem64
ENSMUSG00000089872,771.9743461,-1.328975959,0.277642722,1.13E-07,2.14E-05,Rps6kc1
ENSMUSG00000039976,527.0693775,-2.312313339,0.497374055,1.20E-07,2.25E-05,Tbc1d16
ENSMUSG00000018427,233.8073032,-2.322669189,0.501381056,1.33E-07,2.46E-05,Ypel2
ENSMUSG00000028926,1998.203172,1.760932981,0.370512692,1.38E-07,2.47E-05,Cdk14
ENSMUSG00000090958,237.7942683,-4.828307313,1.076335295,1.35E-07,2.47E-05,Lrrc32
ENSMUSG00000080797,46.23634495,-2.027940458,0.4364748,1.38E-07,2.47E-05,Gm15760
ENSMUSG00000021360,111.5683095,2.970431533,0.636822571,1.53E-07,2.70E-05,Gcnt2
ENSMUSG00000048621,192.4743374,3.447445329,0.741817529,1.64E-07,2.85E-05,Gm6377
ENSMUSG00000056091,2990.468689,2.257871932,0.481857409,1.66E-07,2.87E-05,St3gal5
ENSMUSG00000040848,4246.260902,-1.637345123,0.353072565,1.74E-07,2.95E-05,Sft2d2
ENSMUSG00000026958,2702.276537,-1.401297005,0.301701602,1.74E-07,2.95E-05,Dpp7
ENSMUSG00000029223,1617.283094,2.954154009,0.634243544,1.88E-07,3.15E-05,Uchl1
ENSMUSG00000030156,242.9891714,3.997534076,0.866323442,1.92E-07,3.17E-05,Cd69
ENSMUSG00000062098,231.4108146,-1.454250846,0.315922314,2.23E-07,3.62E-05,Btbd3
ENSMUSG00000059994,280.2338184,2.447824136,0.53032997,2.23E-07,3.62E-05,Fcrl1
ENSMUSG00000050377,21.71874487,-0.19521537,0.432863677,2.32E-07,3.72E-05,Il31ra
ENSMUSG00000030691,1349.709166,-2.253038424,0.500760642,2.43E-07,3.85E-05,Fchsd2
ENSMUSG00000020376,6141.07188,-0.881762788,0.192200081,2.52E-07,3.96E-05,Rnf130
ENSMUSG00000020841,12212.49221,2.970494844,0.654488398,3.20E-07,4.98E-05,Cpd
ENSMUSG00000072596,342.6125828,-0.095191287,0.360304887,3.43E-07,5.28E-05,Ear2
ENSMUSG00000053137,63.05006169,2.687221873,0.59561526,3.50E-07,5.34E-05,Mapk11
ENSMUSG00000022051,2841.316594,-1.304808492,0.287729051,3.65E-07,5.51E-05,Bnip3l
ENSMUSG00000026807,136.9719689,-3.696485932,0.854688108,3.86E-07,5.77E-05,Ak8
ENSMUSG00000030474,1453.297695,0.357770207,0.775837434,3.89E-07,5.77E-05,Siglece
ENSMUSG00000030283,82.41938442,-5.027035994,1.188815365,3.97E-07,5.83E-05,St8sia1
ENSMUSG00000027134,185.6639604,2.182918028,0.487544535,4.18E-07,6.03E-05,Lpcat4
ENSMUSG00000031189,18.6106662,0.037029117,0.341462634,4.16E-07,6.03E-05,Aff2
ENSMUSG00000053063,7271.983192,1.834847845,0.402970426,4.24E-07,6.06E-05,Clec12a
ENSMUSG00000060044,1174.566284,-0.223004856,0.464757221,4.44E-07,6.29E-05,Tmem26
ENSMUSG00000031511,3952.463373,0.958791632,0.20674209,4.60E-07,6.39E-05,Arhgef7
ENSMUSG00000035828,605.3645516,-1.615161553,0.366511113,4.64E-07,6.39E-05,Pim3
ENSMUSG00000117239,273.8377849,2.937733074,0.660061043,4.57E-07,6.39E-05,Gpr31c
ENSMUSG00000029994,11376.60338,-1.240170775,0.276127911,4.80E-07,6.56E-05,Anxa4
ENSMUSG00000103845,123.9322842,7.175742054,1.740242881,4.87E-07,6.60E-05,Gm19026
ENSMUSG00000020689,1232.415286,-3.495046306,0.822004112,5.11E-07,6.86E-05,Itgb3
ENSMUSG00000040809,8200.349917,-0.06544678,0.349428827,5.31E-07,7.07E-05,Chil3
ENSMUSG00000074305,2782.870092,1.211764651,0.268830162,5.41E-07,7.14E-05,Peak1
ENSMUSG00000031257,70.57019281,5.354264399,1.214061712,5.66E-07,7.35E-05,Nox1
ENSMUSG00000024770,545.7169663,-3.639907485,0.863607677,5.66E-07,7.35E-05,Lipn
ENSMUSG00000042272,1773.879698,-1.054164333,0.234687127,5.94E-07,7.64E-05,Sestd1
ENSMUSG00000030123,11384.35932,-1.259322929,0.284201434,6.11E-07,7.69E-05,Plxnd1
ENSMUSG00000021948,9385.058358,-1.077672969,0.240608946,6.09E-07,7.69E-05,Prkcd
ENSMUSG00000035678,207.7885823,2.647007211,0.602775367,6.12E-07,7.69E-05,Tnfsf9
ENSMUSG00000102715,102.284923,-3.829710722,0.912347762,6.45E-07,8.04E-05,NA
ENSMUSG00000037926,1281.2351,1.940616044,0.439844564,6.51E-07,8.05E-05,Ssh2
ENSMUSG00000035199,3906.663443,-1.258148068,0.285482039,6.84E-07,8.39E-05,Arl6ip5
ENSMUSG00000038342,1648.562997,-0.87036486,0.192291817,6.90E-07,8.41E-05,Mlxip
ENSMUSG00000023186,6622.845708,-0.747958745,0.166080308,7.21E-07,8.72E-05,Vwa5a
ENSMUSG00000044716,20.09166147,-3.203852218,0.757852145,7.46E-07,8.94E-05,Dok7
ENSMUSG00000005465,78.53873189,-3.099592365,0.743495209,8.07E-07,9.61E-05,Il27ra
ENSMUSG00000021779,48.75600997,-3.111581292,0.745039573,8.33E-07,9.85E-05,Thrb
ENSMUSG00000029591,187.6829121,1.730414053,0.396984667,8.85E-07,0.000103752,Ung
ENSMUSG00000029234,1586.189327,-1.079616817,0.246386166,9.14E-07,0.000106404,Tmem165
ENSMUSG00000025498,13323.78576,4.302590868,1.011006117,9.67E-07,0.000111733,Irf7
ENSMUSG00000030559,28.07330118,-3.539352239,0.849327814,1.01E-06,0.000116243,Rab38
ENSMUSG00000049184,69.47380085,-1.755219843,0.41244749,1.04E-06,0.000118878,Purg
ENSMUSG00000009614,53.81632848,-4.953098404,1.222674092,1.06E-06,0.000119985,Sardh
ENSMUSG00000041827,2466.749104,4.713053378,1.127269513,1.11E-06,0.000124158,Oasl1
ENSMUSG00000031445,79.66400116,-1.851118076,0.44041328,1.17E-06,0.00013012,Proz
ENSMUSG00000009647,434.2477628,0.876872956,0.197842686,1.20E-06,0.000132499,Mcu
ENSMUSG00000091512,1804.754499,-0.67988746,0.152212198,1.27E-06,0.000138699,Lamtor3
ENSMUSG00000045917,995.5953828,-1.474723739,0.349037869,1.28E-06,0.000138699,Tmem268
ENSMUSG00000032577,1582.994129,-1.197004485,0.280117099,1.27E-06,0.000138699,Mapkapk3
ENSMUSG00000024772,10354.97748,2.380563206,0.56251068,1.30E-06,0.000140152,Ehd1
ENSMUSG00000022094,950.3856727,1.605157618,0.37544466,1.33E-06,0.000142285,Slc39a14
ENSMUSG00000026768,48.5373247,4.014215515,0.94953784,1.42E-06,0.000150841,Itga8
ENSMUSG00000026875,1796.435487,2.462751402,0.585215035,1.45E-06,0.000152698,Traf1
ENSMUSG00000036564,169.3359862,2.846092616,0.684953468,1.68E-06,0.000176335,Ndrg4
ENSMUSG00000040950,3736.873562,-0.130343387,0.37883611,1.72E-06,0.000178478,Mgl2
ENSMUSG00000030410,415.9538121,3.004628312,0.725720889,1.73E-06,0.00017889,Dmwd
ENSMUSG00000027797,86.5878214,-4.26013544,1.08935921,1.75E-06,0.000179742,Dclk1
ENSMUSG00000020346,3854.697036,-1.522230091,0.369749096,1.94E-06,0.000198142,Mgat1
ENSMUSG00000008845,120.4412435,-4.293674397,1.103317222,1.97E-06,0.000200058,Cd163
ENSMUSG00000034641,4455.35544,-1.661466918,0.406223766,1.99E-06,0.00020059,Cd300ld
ENSMUSG00000059447,1303.59644,-0.893850542,0.20836448,2.01E-06,0.000201053,Hadhb
ENSMUSG00000044715,548.9442041,-0.733259949,0.168973079,2.05E-06,0.000204277,Gskip
ENSMUSG00000025283,5439.735662,-1.585152123,0.394947679,2.09E-06,0.000206582,Sat1
ENSMUSG00000018930,2130.741407,2.664841676,0.650598457,2.18E-06,0.000214362,Ccl4
ENSMUSG00000030103,1691.370258,-2.415328584,0.60727937,2.21E-06,0.000214736,Bhlhe40
ENSMUSG00000069607,243.900155,-2.465779747,0.619058089,2.20E-06,0.000214736,Cd300ld3
ENSMUSG00000009292,472.1385231,2.235291066,0.544447855,2.26E-06,0.000217399,Trpm2
ENSMUSG00000037922,89.90831458,3.639788108,0.896553923,2.38E-06,0.000227571,Bank1
ENSMUSG00000029417,931.8267202,0.215336432,0.454394447,2.47E-06,0.000233567,Cxcl9
ENSMUSG00000009185,499.017435,-0.197989899,0.435000849,2.47E-06,0.000233567,Ccl8
ENSMUSG00000030830,6912.065944,4.368127117,1.094860134,2.54E-06,0.000239045,Itgal
ENSMUSG00000030711,139.4422569,-4.287757571,1.121410468,2.58E-06,0.00024031,Sult1a1
ENSMUSG00000040829,381.319642,2.37049419,0.580443335,2.58E-06,0.00024031,Zmynd15
ENSMUSG00000070803,5.529303419,-7.546235753,2.915642704,2.93E-06,0.00027039,Cited4
ENSMUSG00000071713,10197.99815,-1.276272888,0.31786493,2.96E-06,0.000271701,Csf2rb
ENSMUSG00000037972,132.1748044,-2.610042962,0.670104855,3.11E-06,0.000283941,Snn
ENSMUSG00000032661,7197.064209,3.101796893,0.780904496,3.61E-06,0.000325578,Oas3
ENSMUSG00000032035,336.1953472,-1.553341675,0.390506415,3.60E-06,0.000325578,Ets1
ENSMUSG00000022364,651.764309,0.897950695,0.21483089,3.70E-06,0.000332286,Tbc1d31
ENSMUSG00000016349,200.2315505,-4.368344713,1.182284094,3.77E-06,0.000333223,Eef1a2
ENSMUSG00000022180,6659.300254,2.029578732,0.507159881,3.76E-06,0.000333223,Slc7a8
ENSMUSG00000051439,17573.18334,2.349222806,0.590659838,3.78E-06,0.000333223,Cd14
ENSMUSG00000024534,91.87297016,3.691370018,0.936472625,3.98E-06,0.000349121,Sncaip
ENSMUSG00000022126,24351.0444,0.295946859,0.587585046,4.01E-06,0.000349835,Acod1
ENSMUSG00000030187,508.2539706,4.251459707,1.09520412,4.07E-06,0.000352161,Klra2
ENSMUSG00000101389,1899.953601,-3.848814345,1.036553588,4.08E-06,0.000352161,Ms4a4a
ENSMUSG00000020520,1442.811672,-1.348040779,0.33985032,4.24E-06,0.000364159,Galnt10
ENSMUSG00000041193,54.69557271,-3.286122214,0.876769525,4.42E-06,0.000377068,Pla2g5
ENSMUSG00000056153,1221.078698,-1.547485944,0.398443144,4.49E-06,0.000381578,Socs6
ENSMUSG00000004661,308.0493713,1.06933462,0.261842411,4.56E-06,0.00038374,Arid3b
ENSMUSG00000032633,1866.138066,-1.161112958,0.292608504,4.57E-06,0.00038374,Flcn
ENSMUSG00000055723,116.9540685,-2.398039834,0.633807664,4.75E-06,0.000394877,Rras2
ENSMUSG00000038206,476.2192238,-0.772667401,0.187003322,4.73E-06,0.000394877,Fbxo8
ENSMUSG00000096630,7.272671579,0.034692937,0.341915763,5.11E-06,0.000422544,Vmn2r26
ENSMUSG00000033316,124.3684123,-0.291981337,0.578080653,5.23E-06,0.00043053,Galnt9
ENSMUSG00000030605,10507.96861,-3.012326628,0.813569877,5.32E-06,0.000435386,Mfge8
ENSMUSG00000031596,4174.920589,-3.550910849,0.974932717,5.65E-06,0.000457551,Slc7a2
ENSMUSG00000038042,58.87559489,1.35507718,0.342033905,5.65E-06,0.000457551,Ptpdc1
ENSMUSG00000048498,597.8108888,4.169522776,1.098704119,5.75E-06,0.000463246,Cd300e
ENSMUSG00000098050,170.5255464,-2.729964995,0.735434044,5.78E-06,0.000463635,NA
ENSMUSG00000045658,6868.780432,1.671465934,0.426895875,5.91E-06,0.000469358,Pid1
ENSMUSG00000068246,142.5031959,0.327710774,0.666990522,5.89E-06,0.000469358,Apol9b
ENSMUSG00000057406,2368.030592,1.608996339,0.41086331,6.09E-06,0.000481002,Nsd2
ENSMUSG00000022722,116.1958057,1.348694055,0.342118015,6.17E-06,0.000484914,Arl6
ENSMUSG00000004317,1177.17988,-1.397674876,0.362829909,6.32E-06,0.000489067,Clcn5
ENSMUSG00000078452,176.6928493,1.932807592,0.497702482,6.30E-06,0.000489067,Raet1a
ENSMUSG00000060216,6847.377213,1.202843158,0.303375733,6.31E-06,0.000489067,Arrb2
ENSMUSG00000035042,21601.23252,0.245693986,0.495229051,6.60E-06,0.000508544,Ccl5
ENSMUSG00000016028,7.327435018,-0.195580345,0.432352461,6.67E-06,0.000511563,Celsr1
ENSMUSG00000038235,315.5881359,2.955836065,0.776552928,6.88E-06,0.000524526,F11r
ENSMUSG00000021756,2944.701643,-1.902935365,0.508921182,6.99E-06,0.000530619,Il6st
ENSMUSG00000035212,2977.559348,-1.043815926,0.265882495,7.03E-06,0.000531073,Leprot
ENSMUSG00000038642,80866.72614,-1.367039401,0.356994254,7.08E-06,0.000532104,Ctss
ENSMUSG00000001930,3840.534098,-2.877110624,0.792591142,7.15E-06,0.000534365,Vwf
ENSMUSG00000024600,88.12965065,-0.229046167,0.471603481,7.18E-06,0.000534365,Slc27a6
ENSMUSG00000022103,27.73667979,-3.847016335,1.076364152,7.30E-06,0.000541063,Gfra2
ENSMUSG00000027580,3493.89774,2.216837985,0.581654318,7.39E-06,0.000544801,Helz2
ENSMUSG00000094562,70.89373556,-4.305355608,1.215760713,7.46E-06,0.000547685,Trav13-4-dv7
ENSMUSG00000045671,1025.33083,1.591154511,0.412898218,7.76E-06,0.000567323,Spred2
ENSMUSG00000041729,21.56472431,-3.170626438,0.868290579,8.14E-06,0.000592275,Coro2b
ENSMUSG00000026600,9587.845986,-1.058233313,0.272707426,8.24E-06,0.00059696,Soat1
ENSMUSG00000027805,65.57743775,-2.262947059,0.616745285,8.39E-06,0.000601711,Pfn2
ENSMUSG00000034855,3205.28269,4.577712021,1.247126638,8.39E-06,0.000601711,Cxcl10
ENSMUSG00000034957,4586.770903,-2.316600999,0.640997334,8.63E-06,0.000616352,Cebpa
ENSMUSG00000056724,2415.020145,0.891671315,0.223634212,8.82E-06,0.000626843,Nbeal2
ENSMUSG00000020034,571.1579231,-2.563109235,0.710911233,8.96E-06,0.00063412,Tcp11l2
ENSMUSG00000093577,55.07376793,-1.406319567,0.372334849,9.29E-06,0.00065174,NA
ENSMUSG00000031447,49869.37151,-1.054236021,0.273701647,9.28E-06,0.00065174,Lamp1
ENSMUSG00000030980,1267.025185,-1.223677542,0.323636178,9.92E-06,0.000693016,Knop1
ENSMUSG00000032420,12.0865597,4.204540845,1.108386979,1.02E-05,0.000708516,Nt5e
ENSMUSG00000025956,297.3347436,-0.780398881,0.198573772,1.05E-05,0.000722194,Mettl21a
ENSMUSG00000026748,902.4580691,-4.021742547,1.174883333,1.04E-05,0.000722194,Plxdc2
ENSMUSG00000022797,4646.15324,-2.938933283,0.838626529,1.10E-05,0.000753688,Tfrc
ENSMUSG00000108371,15.73526322,5.757952042,2.192631681,1.11E-05,0.000756923,NA
ENSMUSG00000040410,277.7068337,1.23273874,0.323260962,1.13E-05,0.000764448,Fbxl4
ENSMUSG00000018920,6682.078545,1.768308653,0.4729193,1.12E-05,0.000764448,Cxcl16
ENSMUSG00000015665,12.840441,-0.199107559,0.436003552,1.15E-05,0.000773623,Awat1
ENSMUSG00000097471,356.1625979,-1.203424347,0.320520451,1.20E-05,0.000803204,5830432E09Rik
ENSMUSG00000022667,1683.155882,-1.224905756,0.328496646,1.21E-05,0.000807839,Cd200r1
ENSMUSG00000085335,9.072967198,5.693549221,2.250870334,1.23E-05,0.00081731,NA
ENSMUSG00000050471,399.480231,-0.780364494,0.201728082,1.24E-05,0.000824439,Fam118b
ENSMUSG00000022303,252.9910865,-2.80312738,0.806523031,1.28E-05,0.000844114,Dcstamp
ENSMUSG00000028152,641.709452,-1.651675883,0.456913273,1.31E-05,0.00086002,Tspan5
ENSMUSG00000023034,188.3742796,2.943062082,0.809423598,1.35E-05,0.000884444,Nr4a1
ENSMUSG00000049624,1338.265201,-1.248129516,0.338256618,1.37E-05,0.000896387,Slc17a5
ENSMUSG00000028613,556.5071457,2.655672742,0.731638846,1.39E-05,0.000905545,Lrp8
ENSMUSG00000039942,577.7601079,2.134522099,0.584428247,1.43E-05,0.000926522,Ptger4
ENSMUSG00000028435,16.19000717,-0.154820011,0.395671115,1.50E-05,0.000962575,Aqp3
ENSMUSG00000044456,1575.777504,-1.421831162,0.392551922,1.50E-05,0.000962575,Rin3
ENSMUSG00000028914,1206.440427,-0.801565662,0.207778188,1.52E-05,0.000968205,Casp9
ENSMUSG00000001036,140.8790483,2.125971365,0.586194985,1.52E-05,0.000968205,Epn2
ENSMUSG00000029385,713.9145764,-1.323133855,0.363919124,1.56E-05,0.000986683,Ccng2
ENSMUSG00000040209,847.8773183,-1.645944497,0.46236894,1.58E-05,0.000993999,Zfp704
ENSMUSG00000063060,23.40544341,3.979149112,1.098746177,1.59E-05,0.000998299,Sox7
ENSMUSG00000006273,15064.42685,-1.036219169,0.279518981,1.68E-05,0.001049629,Atp6v1b2
ENSMUSG00000062939,79.11145762,2.050975855,0.569914048,1.70E-05,0.001061923,Stat4
ENSMUSG00000000730,155.6826895,4.382041927,1.261756967,1.73E-05,0.00106939,Dnmt3l
ENSMUSG00000000982,8013.015095,2.940292127,0.82523356,1.72E-05,0.00106939,Ccl3
ENSMUSG00000027423,8243.350049,-0.999663563,0.269419307,1.75E-05,0.001079148,Snx5
ENSMUSG00000040328,185.5449989,3.49363797,0.986225165,1.77E-05,0.001086096,Or2v1
ENSMUSG00000028347,153.9423364,3.819624697,1.092770669,1.80E-05,0.001103351,Tmeff1
ENSMUSG00000072621,482.0307005,2.019584444,0.560665321,1.85E-05,0.001126233,NA
ENSMUSG00000038260,351.7975432,-1.076007919,0.293766654,1.90E-05,0.001152791,Trpm4
ENSMUSG00000024420,17.67190121,-3.859135844,1.164961355,1.91E-05,0.001155943,Zfp521
ENSMUSG00000031256,720.8022896,1.284436779,0.350959489,1.93E-05,0.001158128,Cstf2
ENSMUSG00000035692,3709.742481,3.394824933,0.965692447,1.93E-05,0.001158128,Isg15
ENSMUSG00000028809,3361.366993,0.624765072,0.159198957,1.94E-05,0.001159703,Srrm1
ENSMUSG00000073491,693.2394469,0.357650235,0.762769014,1.95E-05,0.001160704,Ifi213
ENSMUSG00000003746,4060.679194,-1.258054346,0.350626761,1.98E-05,0.001171986,Man1a
ENSMUSG00000028358,95.36391236,3.273303477,0.933500858,1.99E-05,0.001173747,Zfp618
ENSMUSG00000011154,10.23193183,-0.172437968,0.410175655,2.00E-05,0.001175781,Cfap161
ENSMUSG00000040265,8.636796691,-3.249216158,0.926495433,2.02E-05,0.001179635,Dnm3
ENSMUSG00000062908,1273.383502,-0.520268288,0.131293681,2.02E-05,0.001179635,Acadm
ENSMUSG00000008540,2313.829553,-1.802632374,0.520970326,2.09E-05,0.001209015,Mgst1
ENSMUSG00000022223,27.13889203,2.65224373,0.752445749,2.09E-05,0.001209015,Sdr39u1
ENSMUSG00000004462,444.9908966,-0.634870773,0.164442976,2.09E-05,0.001209015,Tbccd1
ENSMUSG00000052684,4736.820394,-1.064336142,0.293385472,2.11E-05,0.001211721,Jun
ENSMUSG00000036825,310.8601022,1.409567569,0.390055854,2.14E-05,0.001222845,Ssx2ip
ENSMUSG00000040158,531.7193506,-1.036077262,0.285101353,2.14E-05,0.001222845,Tax1bp3
ENSMUSG00000015709,86.01697418,-3.306088125,1.005455888,2.17E-05,0.001237472,Arnt2
ENSMUSG00000004207,276328.4417,-1.892164902,0.552991863,2.24E-05,0.001270056,Psap
ENSMUSG00000025745,3343.383457,-0.710083597,0.185791608,2.26E-05,0.00127517,Hadha
